layer	head	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq	bootstrap_repeats	bootstrap_pairs	bootstrap_top_k	bootstrap_seed
7	5	0.00547883140875845	0.0017986651904914497	0.0027887031392638587	0.009347864277802608	27.86	0.0	50	13189	10	1042
7	6	0.004595853760218531	0.0013666875242709059	0.0026817429894972302	0.0076066079143847455	66.88	0.0	50	13189	10	1042
7	7	0.009463297305092037	0.004541069578154164	0.003513940286132361	0.019968038121987355	4.0	0.94	50	13189	10	1042
8	0	0.004488285736008898	0.0013379602275298164	0.0025905383831014844	0.007437840728621437	72.08	0.0	50	13189	10	1042
8	1	0.007171749161762064	0.002655438475388779	0.003637122216351287	0.012173090532547445	9.42	0.7	50	13189	10	1042
8	2	0.005926948844108802	0.002118992650562332	0.00287250089593092	0.011202102635539356	21.92	0.26	50	13189	10	1042
8	3	0.004390833701494929	0.0012733536808894102	0.0025608767938758844	0.007364840491228151	77.32	0.0	50	13189	10	1042
8	4	0.004564466957814849	0.0013983078377026623	0.0026595283970012014	0.007762575366667847	68.36	0.0	50	13189	10	1042
8	5	0.004762873526223014	0.0014829858677625515	0.002671183535369135	0.0082639896631088	56.68	0.0	50	13189	10	1042
8	6	0.004861807260684139	0.00152617396775751	0.002603292345829545	0.00819045741165316	54.98	0.0	50	13189	10	1042
8	7	0.0046282936930506675	0.00139278087133434	0.0026673741128275864	0.007365434877498204	64.0	0.0	50	13189	10	1042
9	0	0.00462992959174834	0.001396621062318814	0.0026324345150326263	0.007681729095109547	65.3	0.0	50	13189	10	1042
9	1	0.005554697343028502	0.001761265467142411	0.002825628761987644	0.009011474663956173	26.56	0.08	50	13189	10	1042
9	2	0.00493015012751408	0.0015135365010172524	0.0026981226539711544	0.008017620104934215	48.24	0.02	50	13189	10	1042
9	3	0.005389352454455349	0.0018867095294784395	0.0026539893047565115	0.009690404938748256	35.2	0.06	50	13189	10	1042
9	4	0.0047773790333252904	0.0014598326142425124	0.002748569639161104	0.007947023129189653	55.48	0.0	50	13189	10	1042
9	5	0.0048263856077922045	0.0014781797773550692	0.002724890567919917	0.00823811514660005	53.24	0.0	50	13189	10	1042
9	6	0.005984048238993879	0.0019894203763052704	0.003359702771122167	0.01041292360071933	16.74	0.08	50	13189	10	1042
9	7	0.004895754301643918	0.0014841701194701633	0.0028006309146195022	0.007835426924481638	48.86	0.0	50	13189	10	1042
10	0	0.00467400410209795	0.0013764463911081083	0.0025592732621513045	0.007878012401399783	61.36	0.0	50	13189	10	1042
10	1	0.005384660086642573	0.0018845316237467776	0.0027015688194884516	0.009605179133986997	33.72	0.02	50	13189	10	1042
10	2	0.005547442575239211	0.0020614400712164033	0.002832066122205012	0.009267363177264948	35.68	0.16	50	13189	10	1042
10	3	0.005345388180384936	0.0018416361827444337	0.00278667705036277	0.009562699566352452	37.7	0.06	50	13189	10	1042
10	4	0.00496959962665797	0.0015493943530516924	0.0027866428407300444	0.008440013028113981	45.98	0.0	50	13189	10	1042
10	5	0.0065935598366989355	0.002289297985640974	0.003501828432159262	0.012049178545764129	13.76	0.64	50	13189	10	1042
10	6	0.0051309621423481725	0.0016686153464249066	0.0028105315761727473	0.00828091049614955	44.42	0.02	50	13189	10	1042
10	7	0.004740754984695943	0.0014239703373855484	0.002688451892297757	0.007583205711884344	57.5	0.0	50	13189	10	1042
11	0	0.004824909279545069	0.0015209613398794405	0.002620554289768013	0.008252816373321729	57.04	0.0	50	13189	10	1042
11	1	0.004965912771756081	0.0015793926014005045	0.002700245029168336	0.008055068157140638	50.86	0.0	50	13189	10	1042
11	2	0.004384281946391115	0.001259253322164194	0.002461856243806325	0.0067814810794569235	75.52	0.0	50	13189	10	1042
11	3	0.006628342775825049	0.002458125791379276	0.0029201565453066615	0.011297813739610365	12.3	0.46	50	13189	10	1042
11	4	0.005290480197788063	0.001630067186518469	0.002856374232126778	0.008814646581344357	31.62	0.0	50	13189	10	1042
11	5	0.0048608722692967295	0.0014851055940010602	0.002657883629236687	0.007658241932811772	52.46	0.0	50	13189	10	1042
11	6	0.005049844591518264	0.00156815957823528	0.002738699052778944	0.008546860756579878	42.06	0.0	50	13189	10	1042
11	7	0.006268687672362408	0.002299802871026663	0.0031279884743540196	0.010874150964000349	15.08	0.22	50	13189	10	1042
