layer	head	precision	recall	f1	aupr	predicted_edges	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq
2	2	0.005454545454545455	0.09375	0.010309278350515464	0.005182986000060022	550	32	13189	30	0.002274622791720373	13189	0.005606470304558421	0.0019065511434556784	0.003032635685094104	0.010208615377986268	25.14	0.04
2	3	0.0018181818181818182	0.03125	0.0034364261168384883	0.005021160182749718	550	32	13189	30	0.002274622791720373	13189	0.00536209360244906	0.0016202696726131754	0.00289091977210286	0.00914871377488619	29.1	0.0
2	4	0.005454545454545455	0.09375	0.010309278350515464	0.0045758838363162855	550	32	13189	30	0.002274622791720373	13189	0.005089397674489008	0.0015865546868070704	0.002668134650007561	0.0076381103519167935	44.48	0.06
2	5	0.0	0.0	0.0	0.0038425012046171135	550	32	13189	30	0.002274622791720373	13189	0.004187839363587588	0.001195325336954859	0.0024750047916289094	0.006682163589974878	86.4	0.0
2	6	0.0	0.0	0.0	0.0039091494911538465	550	32	13189	30	0.002274622791720373	13189	0.004304926110125877	0.0012323498029117993	0.0025263625076918333	0.006625509167789073	81.5	0.0
2	7	0.0	0.0	0.0	0.00394253145843702	550	32	13189	30	0.002274622791720373	13189	0.004325664706451104	0.001231491036260163	0.0025338583988492773	0.006629531985181186	79.58	0.0
3	0	0.0036363636363636364	0.0625	0.006872852233676977	0.00472372917925444	550	32	13189	30	0.002274622791720373	13189	0.005078229475080515	0.0015393345909491612	0.0029307302128898224	0.008371988005721842	39.34	0.0
3	1	0.007272727272727273	0.125	0.013745704467353953	0.004716308479253473	550	32	13189	30	0.002274622791720373	13189	0.005155683143755732	0.00164540825447151	0.0027591352972912877	0.008343614824678278	40.4	0.0
3	2	0.016363636363636365	0.28125	0.030927835051546393	0.006807335528778815	550	32	13189	30	0.002274622791720373	13189	0.007351995707816015	0.00259058928261073	0.0034600247265844397	0.013244206408720023	6.94	0.94
3	3	0.007272727272727273	0.125	0.013745704467353953	0.004953673705598868	550	32	13189	30	0.002274622791720373	13189	0.005307854397865531	0.0016603590997388556	0.0028857921546856925	0.008729860487671872	31.18	0.0
3	4	0.0036363636363636364	0.0625	0.006872852233676977	0.004684985939736575	550	32	13189	30	0.002274622791720373	13189	0.005087379145635733	0.0016045506932097857	0.0027326885068425324	0.00877232557380533	40.46	0.0
3	5	0.0	0.0	0.0	0.004023989284637515	550	32	13189	30	0.002274622791720373	13189	0.004387091006687265	0.001256013894325796	0.0025638565172355823	0.007156749394694117	77.24	0.0
3	6	0.0	0.0	0.0	0.0038138991450390645	550	32	13189	30	0.002274622791720373	13189	0.004230095000160747	0.0012219374771208682	0.0025091638799628656	0.006648376359174413	84.66	0.0
3	7	0.0018181818181818182	0.03125	0.0034364261168384883	0.004765344543519472	550	32	13189	30	0.002274622791720373	13189	0.005138498568301857	0.0015733764654054518	0.0027284637184219356	0.008048869493018728	38.28	0.0
4	0	0.00909090909090909	0.15625	0.01718213058419244	0.004654190078506088	550	32	13189	30	0.002274622791720373	13189	0.005044728124946207	0.0015692817639574974	0.0027623907725420997	0.008170416148584008	43.8	0.0
4	1	0.0036363636363636364	0.0625	0.006872852233676977	0.004273298688211416	550	32	13189	30	0.002274622791720373	13189	0.004697422751378296	0.0014060782952687693	0.002607860562230075	0.007401865795511152	60.84	0.0
4	2	0.0018181818181818182	0.03125	0.0034364261168384883	0.003775615574713865	550	32	13189	30	0.002274622791720373	13189	0.004197215577888009	0.0012354125283094112	0.0024817682716408813	0.007063041987660954	85.86	0.0
4	3	0.012727272727272728	0.21875	0.024054982817869417	0.007918231410960725	550	32	13189	30	0.002274622791720373	13189	0.008301466763342187	0.003412947779825613	0.003206207692263149	0.015440125149175787	5.42	0.92
4	4	0.005454545454545455	0.09375	0.010309278350515464	0.004825115284860417	550	32	13189	30	0.002274622791720373	13189	0.005346509198733085	0.001751636976840382	0.0029192811980230577	0.008770046053439636	33.12	0.02
4	5	0.005454545454545455	0.09375	0.010309278350515464	0.00474709464974844	550	32	13189	30	0.002274622791720373	13189	0.005170934471261525	0.0015717656676908001	0.0027791086709148967	0.008122523742299567	36.5	0.0
4	6	0.0018181818181818182	0.03125	0.0034364261168384883	0.004039789977420978	550	32	13189	30	0.002274622791720373	13189	0.004454137228117511	0.0013001597984105594	0.0025742226257765006	0.006957833241500282	73.26	0.0
4	7	0.0018181818181818182	0.03125	0.0034364261168384883	0.004279242432990665	550	32	13189	30	0.002274622791720373	13189	0.004732526438876665	0.0014375515930423921	0.0026913566400123055	0.007615873378391534	58.02	0.0
5	0	0.0036363636363636364	0.0625	0.006872852233676977	0.004412179324733897	550	32	13189	30	0.002274622791720373	13189	0.004806462747701007	0.001406760016448384	0.0025809630937710768	0.007900027907067814	54.74	0.0
5	1	0.0036363636363636364	0.0625	0.006872852233676977	0.004439304924937363	550	32	13189	30	0.002274622791720373	13189	0.004844099820812819	0.0014935951047652313	0.00283942646023015	0.008362062623713152	52.42	0.0
5	2	0.005454545454545455	0.09375	0.010309278350515464	0.0047598976618441246	550	32	13189	30	0.002274622791720373	13189	0.005186663410536819	0.0016363079043382996	0.002738067612796851	0.009111728261835083	37.36	0.0
