layer	head	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq	bootstrap_repeats	bootstrap_pairs	bootstrap_top_k	bootstrap_seed
3	4	0.001896178736299402	0.0006931954383808242	0.0006607214752153671	0.0033672272808311925	44.28	0.0	50	50000	10	1042
3	5	0.0016912975699131837	0.0005846833185312083	0.0005929823899763202	0.0030110031236928393	76.92	0.0	50	50000	10	1042
3	6	0.001615107604645412	0.0005384522572291315	0.0005835995321781548	0.0027605217100906917	86.06	0.0	50	50000	10	1042
3	7	0.0019498381199710311	0.0007141168726867046	0.0006596710912087268	0.0034574063123312343	36.62	0.0	50	50000	10	1042
4	0	0.0019074465468663273	0.0006804288199932153	0.0006585452667504788	0.0034731922308900206	43.56	0.0	50	50000	10	1042
4	1	0.0018012971309504617	0.0006370892768289176	0.0006089650979754628	0.003094007229211428	59.12	0.0	50	50000	10	1042
4	2	0.0016278276251673858	0.0005440409480015172	0.0005799167769552046	0.002777359754487372	84.56	0.0	50	50000	10	1042
4	3	0.002966366359124431	0.0012906808214314656	0.0010412162972124556	0.005944463501039435	5.26	0.92	50	50000	10	1042
4	4	0.0021633002458239163	0.0007419774277226097	0.0006743258216246758	0.003539661978121167	23.68	0.16	50	50000	10	1042
4	5	0.0019117821625591923	0.000676081510809582	0.0006542774320971951	0.003357697859737428	40.1	0.0	50	50000	10	1042
4	6	0.0016954222256986486	0.0005770962832443315	0.0006125902272651426	0.002919096235495924	74.92	0.0	50	50000	10	1042
4	7	0.0017874840353738523	0.0006323193792214677	0.0006260073457466444	0.00314471484969961	58.38	0.0	50	50000	10	1042
5	0	0.001797455140713818	0.0006580994620405973	0.0006339121293703692	0.0032792267297581477	60.88	0.0	50	50000	10	1042
5	1	0.0018278272425963085	0.0006278519792760626	0.0006315597412211711	0.0030966874662150035	53.66	0.0	50	50000	10	1042
5	2	0.0019587029507054958	0.000733076934093125	0.0006989298320424092	0.003764511134131796	39.06	0.0	50	50000	10	1042
5	3	0.0021566270493409063	0.0008035211087935848	0.0007844096105253176	0.003926992875862394	20.42	0.0	50	50000	10	1042
5	4	0.0017610819193358046	0.0006617655712944191	0.0006538946615438232	0.0033538648712249934	68.44	0.0	50	50000	10	1042
5	5	0.0018130960184054264	0.0006496050174751954	0.0006179510250385902	0.003229571398293907	56.32	0.0	50	50000	10	1042
5	6	0.0015068933032018421	0.0005028707271316458	0.0005505905065197908	0.0026259511342132317	93.24	0.0	50	50000	10	1042
5	7	0.003009747132539609	0.0012659754163316089	0.0008952415282565078	0.006415373138886448	4.86	0.92	50	50000	10	1042
6	0	0.0016150593057723233	0.0005538174516596584	0.0005985539539288433	0.0028862991117623066	86.18	0.0	50	50000	10	1042
6	1	0.0018748234510546143	0.0006830776219680148	0.0006189305058799146	0.0033823393687145817	46.46	0.0	50	50000	10	1042
6	2	0.0019017658798267491	0.0006954198513049871	0.0006926312162428348	0.0034922655945786264	43.82	0.0	50	50000	10	1042
6	3	0.0023554335781103496	0.000933938310667236	0.0008235526882928445	0.004664139184971788	14.48	0.32	50	50000	10	1042
6	4	0.001798803520367348	0.0006484105977091037	0.0006138412703679103	0.003217345322378374	59.08	0.0	50	50000	10	1042
6	5	0.002522215536527277	0.0009564639187926948	0.0007588308334197897	0.004334487033164391	12.22	0.54	50	50000	10	1042
6	6	0.001765652015174317	0.0006058569698535997	0.0006386708719047213	0.0029814582123002665	63.32	0.0	50	50000	10	1042
6	7	0.0024932316219292336	0.0008909839339613392	0.0007735305166970564	0.004290412873989926	9.54	0.62	50	50000	10	1042
7	0	0.0017651339369473423	0.0006257528570765715	0.000620056160831618	0.003167168255037825	65.58	0.0	50	50000	10	1042
7	1	0.001882896630004244	0.0007016657604405425	0.0006262298725964054	0.003417821074914961	46.12	0.0	50	50000	10	1042
7	2	0.001875156296766707	0.0006700380841655904	0.0006354438260766292	0.003400754137999877	45.54	0.0	50	50000	10	1042
7	3	0.0021614323954364397	0.0007655660185435618	0.0007163696768764619	0.0036581932703238767	24.84	0.1	50	50000	10	1042
7	4	0.001686614144515038	0.0005703580115876958	0.0005863725035879901	0.0028918972351627955	75.38	0.0	50	50000	10	1042
7	5	0.0020383573842577387	0.0007528410585638238	0.0007166173702969087	0.0036804425732715387	30.04	0.0	50	50000	10	1042
7	6	0.0017546730927276027	0.0006060299403101211	0.0006303145513636749	0.003086797064526326	67.24	0.0	50	50000	10	1042
7	7	0.0030999237032858823	0.0015730611313976304	0.000887345222028817	0.007315906868503989	6.08	0.82	50	50000	10	1042
8	0	0.0016900712126933007	0.0005804634313656648	0.0005995897275721077	0.002945619674053202	76.26	0.0	50	50000	10	1042
8	1	0.002534687688932246	0.0010729671149847825	0.0009295280120255688	0.004760773758924189	11.3	0.62	50	50000	10	1042
8	2	0.00209272928604885	0.0008163462696483412	0.0007030030841387078	0.004225282749257541	27.88	0.04	50	50000	10	1042
8	3	0.0016831109431723788	0.0005842375015979658	0.0006114113930713498	0.0030140926030771736	78.24	0.0	50	50000	10	1042
8	4	0.0017537907618256129	0.0005965225362674837	0.0006078484288783242	0.002975551886478404	66.44	0.0	50	50000	10	1042
