quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.9	top10%	0.04100023013353342	11	5	11:5	11	2	0.18181818181818182	2.008492569002123	0.3034501377575435	1.0	False
0.9	top10%	0.04100023013353342	1	4	1:4	24	4	0.16666666666666666	1.8167741935483872	0.21408927102854297	1.0	False
0.9	top10%	0.04100023013353342	2	7	2:7	18	3	0.16666666666666666	1.8115384615384615	0.2666788862884628	1.0	False
0.9	top10%	0.04100023013353342	1	1	1:1	12	2	0.16666666666666666	1.8063694267515924	0.34201527050174657	1.0	False
0.9	top10%	0.04100023013353342	1	5	1:5	25	4	0.16	1.729032258064516	0.2363996274436469	1.0	False
0.9	top10%	0.04100023013353342	2	0	2:0	23	3	0.13043478260869565	1.353846153846154	0.4096803043119187	1.0	False
0.9	top10%	0.04100023013353342	0	5	0:5	73	9	0.1232876712328767	1.27875	0.30480743627355966	1.0	False
0.9	top10%	0.04100023013353342	1	3	1:3	33	4	0.12121212121212122	1.2449388209121246	0.42501517630924623	1.0	False
0.9	top10%	0.04100023013353342	0	6	0:6	79	8	0.10126582278481013	1.0125921089450611	0.5450595455624277	1.0	False
0.9	top10%	0.04100023013353342	1	6	1:6	20	2	0.1	0.9978768577494692	0.6109613310082235	1.0	False
0.9	top10%	0.04100023013353342	0	7	0:7	83	8	0.0963855421686747	0.9557615894039735	0.6041226135621638	1.0	False
0.9	top10%	0.04100023013353342	9	1	9:1	11	1	0.09090909090909091	0.8974683544303798	0.6881251327250384	1.0	False
0.9	top10%	0.04100023013353342	0	0	0:0	51	4	0.0784313725490196	0.7582704186684969	0.7694171214808359	1.0	False
0.9	top10%	0.04100023013353342	8	2	8:2	13	1	0.07692307692307693	0.7468354430379747	0.7478977565502671	1.0	False
0.9	top10%	0.04100023013353342	11	7	11:7	26	2	0.07692307692307693	0.7452229299363057	0.7521814096669832	1.0	False
0.9	top10%	0.04100023013353342	0	1	0:1	59	4	0.06779661016949153	0.6442228739002932	0.8596767117868245	1.0	False
0.9	top10%	0.04100023013353342	10	0	10:0	117	7	0.05982905982905983	0.5517942583732057	0.9605477994066812	1.0	False
0.9	top10%	0.04100023013353342	1	2	1:2	54	3	0.05555555555555555	0.5192307692307693	0.9208313688329385	1.0	False
0.9	top10%	0.04100023013353342	10	5	10:5	23	1	0.043478260869565216	0.404487917146145	0.9133651389893279	1.0	False
0.9	top10%	0.04100023013353342	4	3	4:3	27	1	0.037037037037037035	0.3412852969814995	0.9436022029546749	1.0	False
0.9	top10%	0.04100023013353342	1	0	1:0	31	1	0.03225806451612903	0.2949367088607595	0.9633286905638423	1.0	False
0.9	top10%	0.04100023013353342	0	4	0:4	44	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	1	7	1:7	10	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	2	6	2:6	13	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	6	4	6:4	10	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	6	6	6:6	11	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	8	4	8:4	19	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	8	5	8:5	10	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	9	6	9:6	15	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	10	6	10:6	13	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	11	0	11:0	12	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	11	3	11:3	17	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	11	4	11:4	10	0	0.0	0.0	1.0	1.0	False
