tissue	layer	head	precision	recall	f1	aupr	aupr_bootstrap_mean	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq	head_id	q_value_global_bh	observed_aupr	n_edges_all	n_edges_nonzero	nonzero_fraction	mean_edge_score_nonzero	mean_max_head_score_nonzero	zero_fraction_all	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	q_value_high_enriched	significant_high_enriched_q_lt_0_10
kidney	3	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1181579416246368	0.1203848725822793	0.0709854085310466	0.1795427016472117	11.21	0.63	3:4	0.0209478921183555	0.1181579416246368	4	4	1.0	0.0053815711289644	0.04300689697265622	0.0					
kidney	2	4	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1133503252333307	0.1169928383208883	0.0673972517496067	0.1868915284113327	14.34	0.5	2:4	0.0124378109452734	0.1133503252333307	223	223	1.0	0.0064607166667066005	0.04237618895389574	0.0	0.0	0.0	0.0	1.0	False
kidney	7	1	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1131952413133057	0.1146308856637793	0.0630855294772822	0.2104296016964128	17.16	0.47	7:1	0.0124378109452734	0.1131952413133057	130	130	1.0	0.007177421507671181	0.05152615278195112	0.0	2.0	0.015384615384615385	0.14046792927005977	1.0	False
kidney	3	0	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1090223750555125	0.1148264357912211	0.0676462177430815	0.1933353961432998	15.51	0.46	3:0	0.0124378109452734	0.1090223750555125	17	17	1.0	0.006417773965307841	0.03229881735409007	0.0					
kidney	7	2	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1030765328439614	0.1160775160058585	0.0550267129154933	0.198801159567253	19.9	0.51	7:2	0.0124378109452734	0.1030765328439614	1	1	1.0	0.0039198109880089	0.008575439453125	0.0					
kidney	1	7	0.0583524027459954	0.9444444444444444	0.1099137931034482	0.1018828408912957	0.1146521810217609	0.060077315895854	0.1845431186092594	17.73	0.44	1:7	0.0124378109452734	0.1018828408912957	181	181	1.0	0.006936800566246312	0.059211478048925244	0.0	1.0	0.0055248618784530384	0.049913469568454626	1.0	False
lung	4	4	0.058	0.6444444444444445	0.1064220183486238	0.0881949368322953	0.0893339174794467	0.062279871170263	0.1186510779033661	1.68	1.0	4:4	0.0124378109452734	0.0881949368322953	35	35	1.0	0.008400520674352086	0.07109470912388392	0.0					
lung	0	6	0.05	0.5555555555555556	0.091743119266055	0.0785923370764778	0.0798182732477427	0.0585737364933869	0.1159885001152745	5.54	0.86	0:6	0.0124378109452734	0.0785923370764778	3087	3087	1.0	0.00854241482699032	0.10901330104078617	0.0	209.0	0.06770327178490444	0.6468899369627102	1.0	False
lung	3	7	0.0586666666666666	0.6518518518518519	0.1076452599388379	0.0739400525853491	0.0756481525168673	0.055044009926699	0.1046537046303116	5.98	0.87	3:7	0.0209478921183555	0.0739400525853491	907	907	1.0	0.008026458145708184	0.06215248822903029	0.0	36.0	0.03969128996692393	0.3699286439003551	1.0	False
lung	5	7	0.058	0.6444444444444445	0.1064220183486238	0.0725943738107186	0.073000695498482	0.0535594346019718	0.0945931997406941	6.54	0.83	5:7	0.0124378109452734	0.0725943738107186	89	89	1.0	0.005893193344909941	0.03151814321453651	0.0	0.0	0.0	0.0	1.0	False
lung	4	3	0.0546666666666666	0.6074074074074074	0.1003058103975535	0.0683995980551282	0.0703824904479456	0.0507174548765946	0.0972170594192042	11.34	0.69	4:3	0.0124378109452734	0.0683995980551282	13	13	1.0	0.006209650166475963	0.024436950683593747	0.0					
lung	5	0	0.0493333333333333	0.5481481481481482	0.0905198776758409	0.0673232041738613	0.0694458244750213	0.0523921650915901	0.0927457988688192	10.39	0.65	5:0	0.0209478921183555	0.0673232041738613	33	33	1.0	0.007033423880453765	0.054115064216382576	0.0					
lung	4	7	0.0586666666666666	0.6518518518518519	0.1076452599388379	0.0663095198996326	0.0681062310537025	0.0545902733911096	0.0886500820474778	12.21	0.54	4:7	0.0124378109452734	0.0663095198996326	6	6	1.0	0.006411869040069434	0.026613871256510397	0.0					
lung	6	3	0.0553333333333333	0.6148148148148148	0.1015290519877675	0.0657974160794363	0.0671110544133069	0.0506792864547762	0.0872300062838055	13.19	0.45	6:3	0.0298507462686566	0.0657974160794363	33	33	1.0	0.004586739037562155	0.021169373483368836	0.0					
lung	6	0	0.054	0.6	0.0990825688073394	0.0649900548609069	0.0662971811123607	0.0512311981868298	0.0895264625591445	15.62	0.41	6:0	0.0124378109452734	0.0649900548609069	66	66	1.0	0.010052982885941468	0.08389231877696234	0.0	2.0	0.030303030303030304	0.2811169851476182	1.0	False
lung	1	7	0.0546666666666666	0.6074074074074074	0.1003058103975535	0.0641136311908711	0.0655285248427755	0.0479602444530556	0.0871254069656215	16.94	0.38	1:7	0.0124378109452734	0.0641136311908711	181	181	1.0	0.006936800566246312	0.059211478048925244	0.0	1.0	0.0055248618784530384	0.049913469568454626	1.0	False
