layer	head	head_id	n_edges_all	n_edges_nonzero	nonzero_fraction	mean_edge_score_all	mean_edge_score_nonzero	mean_max_head_score_all	mean_max_head_score_nonzero	median_max_head_score_nonzero	zero_fraction_all
11	1	11:1	16	16	1.0	0.005560891479641768	0.005560891479641768	0.04203581809997558	0.04203581809997558	0.0269317626953125	0.0
4	3	4:3	13	13	1.0	0.006209650166475963	0.006209650166475963	0.024436950683593747	0.024436950683593747	0.0212860107421875	0.0
5	6	5:6	12	12	1.0	0.006748743782130325	0.006748743782130325	0.03324063618977864	0.03324063618977864	0.021759033203125	0.0
8	2	8:2	11	11	1.0	0.0053707213338577	0.0053707213338577	0.0183108936656605	0.0183108936656605	0.01641845703125	0.0
2	3	2:3	10	10	1.0	0.006353418109938451	0.006353418109938451	0.02853851318359374	0.02853851318359374	0.02458953857421875	0.0
3	3	3:3	9	9	1.0	0.005325283337798334	0.005325283337798334	0.01961178249782984	0.01961178249782984	0.019683837890625	0.0
3	5	3:5	9	9	1.0	0.006223888032966144	0.006223888032966144	0.036951700846354164	0.036951700846354164	0.035858154296875	0.0
10	3	10:3	8	8	1.0	0.004930957307806188	0.004930957307806188	0.01575088500976561	0.01575088500976561	0.014007568359375	0.0
10	1	10:1	8	8	1.0	0.005907802202273087	0.005907802202273087	0.0218505859375	0.0218505859375	0.02327728271484375	0.0
6	5	6:5	7	7	1.0	0.006523657922765985	0.006523657922765985	0.05808258056640624	0.05808258056640624	0.054412841796875	0.0
4	7	4:7	6	6	1.0	0.006411869040069434	0.006411869040069434	0.026613871256510397	0.026613871256510397	0.0170783996582031	0.0
7	3	7:3	4	4	1.0	0.00601148989517235	0.00601148989517235	0.024305343627929674	0.024305343627929674	0.0182533264160156	0.0
3	4	3:4	4	4	1.0	0.0053815711289644	0.0053815711289644	0.04300689697265622	0.04300689697265622	0.03561019897460935	0.0
3	2	3:2	3	3	1.0	0.007434474459538833	0.007434474459538833	0.04679107666015623	0.04679107666015623	0.022491455078125	0.0
6	2	6:2	2	2	1.0	0.00585001613944765	0.00585001613944765	0.0179176330566406	0.0179176330566406	0.0179176330566406	0.0
7	2	7:2	1	1	1.0	0.0039198109880089	0.0039198109880089	0.008575439453125	0.008575439453125	0.008575439453125	0.0
