quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.85	top15%	0.035583557561039876	4	3	4:3	15	5	0.3333333333333333	2.8733905579399144	0.060759077058855256	0.6379703091179801	False
0.85	top15%	0.035583557561039876	1	1	1:1	23	6	0.2608695652173913	2.026369168356998	0.11721653046885	0.6520099428023151	False
0.85	top15%	0.035583557561039876	0	3	0:3	31	8	0.25806451612903225	2.0052930056710774	0.08008456651204895	0.6520099428023151	False
0.85	top15%	0.035583557561039876	1	7	1:7	34	8	0.23529411764705882	1.7698996655518395	0.12419237005758382	0.6520099428023151	False
0.85	top15%	0.035583557561039876	0	6	0:6	83	17	0.20481927710843373	1.4953379953379953	0.10323583052094396	0.6520099428023151	False
0.85	top15%	0.035583557561039876	1	3	1:3	14	4	0.2857142857142857	2.2888888888888888	0.1455376358579257	0.6791756340036533	False
0.85	top15%	0.035583557561039876	1	2	1:2	22	5	0.22727272727272727	1.6813935874779096	0.22488229082772124	0.7870880178970244	False
0.85	top15%	0.035583557561039876	0	1	0:1	33	7	0.21212121212121213	1.5419580419580419	0.21530409688973945	0.7870880178970244	False
0.85	top15%	0.035583557561039876	0	4	0:4	69	13	0.18840579710144928	1.3340476190476191	0.22400265867761646	0.7870880178970244	False
0.85	top15%	0.035583557561039876	8	0	8:0	29	6	0.20689655172413793	1.4910044977511245	0.2605726173142013	0.8418499943997273	False
0.85	top15%	0.035583557561039876	5	0	5:0	13	3	0.23076923076923078	1.7093617021276595	0.3076734084912845	0.9128540957171255	False
0.85	top15%	0.035583557561039876	2	5	2:5	15	3	0.2	1.422340425531915	0.3957737687928993	0.9128540957171255	False
0.85	top15%	0.035583557561039876	3	1	3:1	15	3	0.2	1.422340425531915	0.3957737687928993	0.9128540957171255	False
0.85	top15%	0.035583557561039876	5	5	5:5	15	3	0.2	1.422340425531915	0.3957737687928993	0.9128540957171255	False
0.85	top15%	0.035583557561039876	11	7	11:7	28	5	0.17857142857142858	1.2371711140138086	0.4129578052053663	0.9128540957171255	False
0.85	top15%	0.035583557561039876	1	4	1:4	53	9	0.16981132075471697	1.1656411274315204	0.39878846404287827	0.9128540957171255	False
0.85	top15%	0.035583557561039876	2	3	2:3	11	2	0.18181818181818182	1.2617702448210923	0.5082974292997813	1.0	False
0.85	top15%	0.035583557561039876	2	2	2:2	20	3	0.15	1.000250312891114	0.5962597216426379	1.0	False
0.85	top15%	0.035583557561039876	0	5	0:5	63	9	0.14285714285714285	0.9425036390101892	0.6200932978316531	1.0	False
0.85	top15%	0.035583557561039876	9	5	9:5	39	5	0.1282051282051282	0.8299671800050492	0.7184989474173371	1.0	False
0.85	top15%	0.035583557561039876	11	2	11:2	16	2	0.125	0.8081113801452785	0.7174459355830942	1.0	False
0.85	top15%	0.035583557561039876	11	6	11:6	16	2	0.125	0.8081113801452785	0.7174459355830942	1.0	False
